Modelo,ROC-AUC,Precision,Recall,F1-Score
GNN,0.6462013532584576,0.09370539888774054,0.5902045877247365,0.16173285198555956
Neural Embeddings,0.6399419607054766,0.08851663897247047,0.610973341599504,0.15463068293256974
DeepFM,0.6392175097193517,0.09166462967489611,0.5812151270923744,0.15835479920611462
XGBoost,0.5870266149814409,0.08478964401294499,0.44668319900805953,0.14252509767073834
Random Forest,0.5075234912223529,0.06435787837575287,0.4107253564786113,0.11127907953304779
Logistic Regression,0.5001868805272137,0.06426512968299712,0.6912585244885306,0.11759742656752624
